condition,clicked,framing_gain,framing_loss,framing_neutral,urgency_noturgent,urgency_urgent
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-urgent,0,False,False,True,False,True
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,1,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
neutral-noturgent,0,False,False,True,True,False
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,1,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-urgent,0,False,True,False,False,True
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,1,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
loss-noturgent,0,False,True,False,True,False
